prediction_id,route,stop_name,licence,predicted_eta_min,actual_eta_min,accuracy_min,accuracy_percentage,prediction_time,actual_arrival_time
1762497766_10-1196_Four_Point_Patong,Rawai -> Airport,Four Point Patong,10-1196,9,22.46,13.46,-49.53,2025-11-07T13:42:46.521657,2025-11-07T14:05:14.001211
1762499236_10-1196_Kalim_School,Rawai -> Airport,Kalim School,10-1196,0,1.03,1.03,0.0,2025-11-07T14:07:16.045072,2025-11-07T14:08:17.805803
1762498684_10-1152_Beyond_hotel_Kata,Rawai -> Airport,Beyond hotel Kata,10-1152,12,14.3,2.3,80.86,2025-11-07T13:58:04.919040,2025-11-07T14:12:22.740936
1762497215_10-1152_Kata_Palm,Rawai -> Airport,Kata Palm,10-1152,19,39.81,20.81,-9.51,2025-11-07T13:33:35.663464,2025-11-07T14:13:24.069156
1762496848_10-1207_Patong_PEA,Airport -> Rawai,Patong PEA,10-1207,25,46.94,21.94,12.25,2025-11-07T13:27:28.889332,2025-11-07T14:14:25.149393
1762498501_10-1196_Big_C_Kamala,Rawai -> Airport,Big C Kamala,10-1196,18,22.46,4.46,75.23,2025-11-07T13:55:01.233403,2025-11-07T14:17:28.737034
1762499052_10-1212_Baan_Khian,Airport -> Rawai,Baan Khian,10-1212,18,23.98,5.98,66.8,2025-11-07T14:04:12.288278,2025-11-07T14:28:10.875974
1762497399_10-1151_Surin_Beach,Airport -> Rawai,Surin Beach,10-1151,35,52.55,17.55,49.86,2025-11-07T13:36:39.254799,2025-11-07T14:29:12.174738
1762499787_10-1152_Patong_Bus_Stop,Rawai -> Airport,Patong Bus Stop,10-1152,18,17.85,-0.15,99.16,2025-11-07T14:16:27.162619,2025-11-07T14:34:18.061806
1762500337_10-1207_Kata_Palm,Airport -> Rawai,Kata Palm,10-1207,8,10.73,2.73,65.82,2025-11-07T14:25:37.631301,2025-11-07T14:36:21.713364
1762496482_10-1207_Beyond_hotel_Kata,Airport -> Rawai,Beyond hotel Kata,10-1207,54,76.01,22.01,59.24,2025-11-07T13:21:22.097145,2025-11-07T14:37:22.684311
