licence,route,stop_id,stop_name,stop_index,registration_time,arrival_time,eta_min_T0,eta_ts_T0,error_T0,eta_min_T15,eta_ts_T15,error_T15,eta_min_T30,eta_ts_T30,error_T30,eta_min_T45,eta_ts_T45,error_T45,eta_min_T60,eta_ts_T60,error_T60,eta_min_T75,eta_ts_T75,error_T75,eta_min_T90,eta_ts_T90,error_T90,eta_min_T105,eta_ts_T105,error_T105,eta_min_T120,eta_ts_T120,error_T120
10-1150,Airport -> Rawai,66,Andaman Cannacia Resort,9327,2025-12-08T15:18:25.504168,,112,2025-12-08T17:10:25.504168,,112.0,2025-12-08T17:25:34.189016,,112.0,2025-12-08T17:40:42.753088,,112.0,2025-12-08T17:55:51.008921,,112.0,2025-12-08T18:10:29.229626,,112.0,2025-12-08T18:25:37.716900,,112.0,2025-12-08T18:40:46.440918,,112.0,2025-12-08T18:55:55.082675,,112.0,2025-12-08T19:10:33.967803,
10-1150,Airport -> Rawai,67,Sai Yuan,10247,2025-12-08T15:18:25.504168,,123,2025-12-08T17:21:25.504168,,123.0,2025-12-08T17:36:34.189016,,123.0,2025-12-08T17:51:42.753088,,123.0,2025-12-08T18:06:51.008921,,123.0,2025-12-08T18:21:29.229626,,123.0,2025-12-08T18:36:37.716900,,123.0,2025-12-08T18:51:46.440918,,123.0,2025-12-08T19:06:55.082675,,123.0,2025-12-08T19:21:33.967803,
10-1149,Rawai -> Airport,32,Big C Kamala,5519,2025-12-08T15:18:25.504319,,3,2025-12-08T15:21:25.504319,,3.0,2025-12-08T15:36:34.393582,,3.0,2025-12-08T15:51:42.592223,,3.0,2025-12-08T16:06:50.677007,,3.0,2025-12-08T16:21:29.277496,,3.0,2025-12-08T16:36:37.893489,,3.0,2025-12-08T16:51:46.427913,,3.0,2025-12-08T17:06:55.292295,,3.0,2025-12-08T17:21:34.283220,
10-1149,Rawai -> Airport,33,Phuket Fantasea,5751,2025-12-08T15:18:25.504319,,6,2025-12-08T15:24:25.504319,,6.0,2025-12-08T15:39:34.393582,,6.0,2025-12-08T15:54:42.592223,,6.0,2025-12-08T16:09:50.677007,,6.0,2025-12-08T16:24:29.277496,,6.0,2025-12-08T16:39:37.893489,,6.0,2025-12-08T16:54:46.427913,,6.0,2025-12-08T17:09:55.292295,,6.0,2025-12-08T17:24:34.283220,
10-1149,Rawai -> Airport,34,Kamala Muslim Cemetery,5863,2025-12-08T15:18:25.504319,,7,2025-12-08T15:25:25.504319,,7.0,2025-12-08T15:40:34.393582,,7.0,2025-12-08T15:55:42.592223,,7.0,2025-12-08T16:10:50.677007,,7.0,2025-12-08T16:25:29.277496,,7.0,2025-12-08T16:40:37.893489,,7.0,2025-12-08T16:55:46.427913,,7.0,2025-12-08T17:10:55.292295,,7.0,2025-12-08T17:25:34.283220,
10-1149,Rawai -> Airport,35,Cafe De Mar,5945,2025-12-08T15:18:25.504319,,8,2025-12-08T15:26:25.504319,,8.0,2025-12-08T15:41:34.393582,,8.0,2025-12-08T15:56:42.592223,,8.0,2025-12-08T16:11:50.677007,,8.0,2025-12-08T16:26:29.277496,,8.0,2025-12-08T16:41:37.893489,,8.0,2025-12-08T16:56:46.427913,,8.0,2025-12-08T17:11:55.292295,,8.0,2025-12-08T17:26:34.283220,
10-1149,Rawai -> Airport,36,Surin Beach,6442,2025-12-08T15:18:25.504319,,14,2025-12-08T15:32:25.504319,,14.0,2025-12-08T15:47:34.393582,,14.0,2025-12-08T16:02:42.592223,,14.0,2025-12-08T16:17:50.677007,,14.0,2025-12-08T16:32:29.277496,,14.0,2025-12-08T16:47:37.893489,,14.0,2025-12-08T17:02:46.427913,,14.0,2025-12-08T17:17:55.292295,,14.0,2025-12-08T17:32:34.283220,
10-1149,Rawai -> Airport,37,Lotus Cherngtalay,7024,2025-12-08T15:18:25.504319,,22,2025-12-08T15:40:25.504319,,22.0,2025-12-08T15:55:34.393582,,22.0,2025-12-08T16:10:42.592223,,22.0,2025-12-08T16:25:50.677007,,22.0,2025-12-08T16:40:29.277496,,22.0,2025-12-08T16:55:37.893489,,22.0,2025-12-08T17:10:46.427913,,22.0,2025-12-08T17:25:55.292295,,22.0,2025-12-08T17:40:34.283220,
10-1149,Rawai -> Airport,38,Laguna,7313,2025-12-08T15:18:25.504319,,28,2025-12-08T15:46:25.504319,,28.0,2025-12-08T16:01:34.393582,,28.0,2025-12-08T16:16:42.592223,,28.0,2025-12-08T16:31:50.677007,,28.0,2025-12-08T16:46:29.277496,,28.0,2025-12-08T17:01:37.893489,,28.0,2025-12-08T17:16:46.427913,,28.0,2025-12-08T17:31:55.292295,,28.0,2025-12-08T17:46:34.283220,
10-1149,Rawai -> Airport,39,Cherngtalay School,7346,2025-12-08T15:18:25.504319,,28,2025-12-08T15:46:25.504319,,28.0,2025-12-08T16:01:34.393582,,28.0,2025-12-08T16:16:42.592223,,28.0,2025-12-08T16:31:50.677007,,28.0,2025-12-08T16:46:29.277496,,28.0,2025-12-08T17:01:37.893489,,28.0,2025-12-08T17:16:46.427913,,28.0,2025-12-08T17:31:55.292295,,28.0,2025-12-08T17:46:34.283220,
10-1149,Rawai -> Airport,40,Baan Khian,8300,2025-12-08T15:18:25.504319,,40,2025-12-08T15:58:25.504319,,40.0,2025-12-08T16:13:34.393582,,40.0,2025-12-08T16:28:42.592223,,40.0,2025-12-08T16:43:50.677007,,40.0,2025-12-08T16:58:29.277496,,40.0,2025-12-08T17:13:37.893489,,40.0,2025-12-08T17:28:46.427913,,40.0,2025-12-08T17:43:55.292295,,40.0,2025-12-08T17:58:34.283220,
