licence,route,start_index,stop_index,stop_no,stop_name_eng,stop_name_th,eta_0min,predicted_arrival_time_0min,actual_arrival_time,time_difference_min,eta_15min
10-1219,Patong -> Bus 1 -> Bus 2,2414,2966,94,Vachira Phuket Hospital,โรงพยาบาลวชิระภูเก็ต,7,2025-11-19 14:56:19.050893,2025-11-19 15:08:56.177197,12.618771733333334,0.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,3184,95,Phuket Wittayalai School,โรงเรียนภูเก็ตวิทยาลัย,10,2025-11-19 14:56:19.050893,,,1.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,3270,96,Satree Phuket School,โรงเรียนสตรีภูเก็ต,11,2025-11-19 14:56:19.050893,,,2.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,3411,115,Sanamchai,สนามชัย,13,2025-11-19 14:56:19.050893,,,4.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,3774,98,Phuket Bus Terminal 1,สถานีขนส่งภูเก็ต 1,23,2025-11-19 14:56:19.050893,,,14.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,4052,99,Sanamchai,สนามชัย,27,2025-11-19 14:56:19.050893,,,18.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,4180,100,Phuket Provincial Cooperative Office,สำนักงานสหกรณ์จังหวัด,28,2025-11-19 14:56:19.050893,,,19.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,4358,101,Baan Natkamon,บ้านณัฐกมล,30,2025-11-19 14:56:19.050893,,,21.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,4507,102,Big C Mini Kingkaew,บิ๊กซีมินิ กิ่งแก้ว,32,2025-11-19 14:56:19.050893,,,23.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,4616,103,Soi Thachin,ป้ายซอยท่าจีน,33,2025-11-19 14:56:19.050893,,,24.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,4776,104,Dcondo Campus Kuku,ดีคอนโด กู้กู,34,2025-11-19 14:56:19.050893,,,25.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,4859,105,Ban Kuku School,โรงเรียนบ้านกู้กู,35,2025-11-19 14:56:19.050893,,,26.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,5122,106,Big C Market Thepkrasattri,บิ๊กซี มาร์เก็ต เทพกระษัตรี,37,2025-11-19 14:56:19.050893,,,28.0
10-1149,Rawai -> Airport,3877,4,16,Rawai Beach,หาดราไวย์,0,2025-11-19 14:56:19.030623,,,0.0
10-1149,Rawai -> Airport,3877,642,17,Sai Yuan,ไสยวน,0,2025-11-19 14:56:19.030623,,,0.0
10-1149,Rawai -> Airport,3877,1565,18,Andaman Cannacia Resort,อันดามัน คาเนเซีย,0,2025-11-19 14:56:19.030623,,,0.0
10-1149,Rawai -> Airport,3877,1728,19,Beyond hotel Kata,บียอนด์ กะตะ,0,2025-11-19 14:56:19.030623,,,0.0
10-1149,Rawai -> Airport,3877,1780,20,Kata Palm,กะตะ ปาล์ม,0,2025-11-19 14:56:19.030623,,,0.0
10-1149,Rawai -> Airport,3877,1937,21,OZO Kata,โอโซ่ ภูเก็ต,0,2025-11-19 14:56:19.030623,,,0.0
10-1149,Rawai -> Airport,3877,1963,22,Peach Blossom,พีช บลอสซั่ม,0,2025-11-19 14:56:19.030623,,,0.0
10-1149,Rawai -> Airport,3877,2064,23,Karon Stadium,สนามกีฬากะรน,0,2025-11-19 14:56:19.030623,,,0.0
10-1149,Rawai -> Airport,3877,2369,24,Woraburi Karon,วรบุรี ภูเก็ต รีสอร์ท,0,2025-11-19 14:56:19.030623,,,0.0
10-1149,Rawai -> Airport,3877,2454,25,Karon Circle,วงเวียนกะรน,0,2025-11-19 14:56:19.030623,,,0.0
10-1149,Rawai -> Airport,3877,2997,26,Secret cliff resort ,ซีเคร็ท คลิฟ,0,2025-11-19 14:56:19.030623,,,0.0
10-1149,Rawai -> Airport,3877,3674,27,Patong Bus Stop,จุดจอดรถป่าตอง,0,2025-11-19 14:56:19.030623,,,0.0
10-1149,Rawai -> Airport,3877,3858,28,Bangla Patong ,ป่าตอง บางลา,0,2025-11-19 14:56:19.030623,,,0.0
10-1149,Rawai -> Airport,3877,4204,29,Four Point Patong,โฟร์ พอยต์ ป่าตอง,4,2025-11-19 14:56:19.030623,2025-11-19 15:05:26.204054,9.119557183333336,0.0
10-1149,Rawai -> Airport,3877,4320,30,Kalim School,โรงเรียนกะหลิม,5,2025-11-19 14:56:19.030623,2025-11-19 15:05:26.204054,9.119557183333336,0.0
