licence,route,stop_id,stop_name,stop_index,registration_time,arrival_time,eta_min_T0,eta_ts_T0,error_T0,eta_min_T15,eta_ts_T15,error_T15,eta_min_T30,eta_ts_T30,error_T30,eta_min_T45,eta_ts_T45,error_T45,eta_min_T60,eta_ts_T60,error_T60,eta_min_T75,eta_ts_T75,error_T75,eta_min_T90,eta_ts_T90,error_T90,eta_min_T105,eta_ts_T105,error_T105,eta_min_T120,eta_ts_T120,error_T120
10-1150,Airport -> Rawai,51,Phuket Fantasea,5136,2025-12-02T11:33:13.411769,,4.0,2025-12-02T11:37:13.411769,,4.0,2025-12-02T11:52:32.466117,,4.0,2025-12-02T12:07:20.647997,,4.0,2025-12-02T12:22:34.831617,,4.0,2025-12-02T12:37:24.266828,,4.0,2025-12-02T12:52:32.225217,,4.0,2025-12-02T13:07:40.446029,,4.0,2025-12-02T13:22:18.418276,,,,
10-1150,Airport -> Rawai,52,Big C Kamala,5396,2025-12-02T11:33:13.411769,,6.0,2025-12-02T11:39:13.411769,,6.0,2025-12-02T11:54:32.466117,,6.0,2025-12-02T12:09:20.647997,,6.0,2025-12-02T12:24:34.831617,,6.0,2025-12-02T12:39:24.266828,,6.0,2025-12-02T12:54:32.225217,,6.0,2025-12-02T13:09:40.446029,,6.0,2025-12-02T13:24:18.418276,,,,
10-1150,Airport -> Rawai,53,Kalim Bus Stop,6450,2025-12-02T11:33:13.411769,,17.0,2025-12-02T11:50:13.411769,,17.0,2025-12-02T12:05:32.466117,,17.0,2025-12-02T12:20:20.647997,,17.0,2025-12-02T12:35:34.831617,,17.0,2025-12-02T12:50:24.266828,,17.0,2025-12-02T13:05:32.225217,,17.0,2025-12-02T13:20:40.446029,,17.0,2025-12-02T13:35:18.418276,,,,
10-1150,Airport -> Rawai,54,Kalim School,6540,2025-12-02T11:33:13.411769,,18.0,2025-12-02T11:51:13.411769,,18.0,2025-12-02T12:06:32.466117,,18.0,2025-12-02T12:21:20.647997,,18.0,2025-12-02T12:36:34.831617,,18.0,2025-12-02T12:51:24.266828,,18.0,2025-12-02T13:06:32.225217,,18.0,2025-12-02T13:21:40.446029,,18.0,2025-12-02T13:36:18.418276,,,,
10-1150,Airport -> Rawai,55,Diamond Cliff Resort & Spa,6630,2025-12-02T11:33:13.411769,,19.0,2025-12-02T11:52:13.411769,,19.0,2025-12-02T12:07:32.466117,,19.0,2025-12-02T12:22:20.647997,,19.0,2025-12-02T12:37:34.831617,,19.0,2025-12-02T12:52:24.266828,,19.0,2025-12-02T13:07:32.225217,,19.0,2025-12-02T13:22:40.446029,,19.0,2025-12-02T13:37:18.418276,,,,
10-1150,Airport -> Rawai,56,Indigo Patong,6893,2025-12-02T11:33:13.411769,,23.0,2025-12-02T11:56:13.411769,,23.0,2025-12-02T12:11:32.466117,,23.0,2025-12-02T12:26:20.647997,,23.0,2025-12-02T12:41:34.831617,,23.0,2025-12-02T12:56:24.266828,,23.0,2025-12-02T13:11:32.225217,,23.0,2025-12-02T13:26:40.446029,,23.0,2025-12-02T13:41:18.418276,,,,
10-1150,Airport -> Rawai,57,Patong PEA,7083,2025-12-02T11:33:13.411769,,26.0,2025-12-02T11:59:13.411769,,26.0,2025-12-02T12:14:32.466117,,26.0,2025-12-02T12:29:20.647997,,26.0,2025-12-02T12:44:34.831617,,26.0,2025-12-02T12:59:24.266828,,26.0,2025-12-02T13:14:32.225217,,26.0,2025-12-02T13:29:40.446029,,26.0,2025-12-02T13:44:18.418276,,,,
10-1150,Airport -> Rawai,58,Holiday Inn Resort Patong,7169,2025-12-02T11:33:13.411769,,27.0,2025-12-02T12:00:13.411769,,27.0,2025-12-02T12:15:32.466117,,27.0,2025-12-02T12:30:20.647997,,27.0,2025-12-02T12:45:34.831617,,27.0,2025-12-02T13:00:24.266828,,27.0,2025-12-02T13:15:32.225217,,27.0,2025-12-02T13:30:40.446029,,27.0,2025-12-02T13:45:18.418276,,,,
10-1150,Airport -> Rawai,59,Secret cliff resort ,7899,2025-12-02T11:33:13.411769,,38.0,2025-12-02T12:11:13.411769,,38.0,2025-12-02T12:26:32.466117,,38.0,2025-12-02T12:41:20.647997,,38.0,2025-12-02T12:56:34.831617,,38.0,2025-12-02T13:11:24.266828,,38.0,2025-12-02T13:26:32.225217,,38.0,2025-12-02T13:41:40.446029,,38.0,2025-12-02T13:56:18.418276,,,,
10-1150,Airport -> Rawai,60,Karon Circle,8431,2025-12-02T11:33:13.411769,,43.0,2025-12-02T12:16:13.411769,,43.0,2025-12-02T12:31:32.466117,,43.0,2025-12-02T12:46:20.647997,,43.0,2025-12-02T13:01:34.831617,,43.0,2025-12-02T13:16:24.266828,,43.0,2025-12-02T13:31:32.225217,,43.0,2025-12-02T13:46:40.446029,,43.0,2025-12-02T14:01:18.418276,,,,
10-1150,Airport -> Rawai,61,Woraburi Karon,8523,2025-12-02T11:33:13.411769,,44.0,2025-12-02T12:17:13.411769,,44.0,2025-12-02T12:32:32.466117,,44.0,2025-12-02T12:47:20.647997,,44.0,2025-12-02T13:02:34.831617,,44.0,2025-12-02T13:17:24.266828,,44.0,2025-12-02T13:32:32.225217,,44.0,2025-12-02T13:47:40.446029,,44.0,2025-12-02T14:02:18.418276,,,,
10-1150,Airport -> Rawai,62,Karon Stadium,8823,2025-12-02T11:33:13.411769,,47.0,2025-12-02T12:20:13.411769,,47.0,2025-12-02T12:35:32.466117,,47.0,2025-12-02T12:50:20.647997,,47.0,2025-12-02T13:05:34.831617,,47.0,2025-12-02T13:20:24.266828,,47.0,2025-12-02T13:35:32.225217,,47.0,2025-12-02T13:50:40.446029,,47.0,2025-12-02T14:05:18.418276,,,,
10-1150,Airport -> Rawai,63,OZO Phuket,8979,2025-12-02T11:33:13.411769,,49.0,2025-12-02T12:22:13.411769,,49.0,2025-12-02T12:37:32.466117,,49.0,2025-12-02T12:52:20.647997,,49.0,2025-12-02T13:07:34.831617,,49.0,2025-12-02T13:22:24.266828,,49.0,2025-12-02T13:37:32.225217,,49.0,2025-12-02T13:52:40.446029,,49.0,2025-12-02T14:07:18.418276,,,,
10-1150,Airport -> Rawai,64,Kata Palm,9111,2025-12-02T11:33:13.411769,,51.0,2025-12-02T12:24:13.411769,,51.0,2025-12-02T12:39:32.466117,,51.0,2025-12-02T12:54:20.647997,,51.0,2025-12-02T13:09:34.831617,,51.0,2025-12-02T13:24:24.266828,,51.0,2025-12-02T13:39:32.225217,,51.0,2025-12-02T13:54:40.446029,,51.0,2025-12-02T14:09:18.418276,,,,
10-1150,Airport -> Rawai,65,Beyond hotel Kata,9157,2025-12-02T11:33:13.411769,,52.0,2025-12-02T12:25:13.411769,,52.0,2025-12-02T12:40:32.466117,,52.0,2025-12-02T12:55:20.647997,,52.0,2025-12-02T13:10:34.831617,,52.0,2025-12-02T13:25:24.266828,,52.0,2025-12-02T13:40:32.225217,,52.0,2025-12-02T13:55:40.446029,,52.0,2025-12-02T14:10:18.418276,,,,
10-1150,Airport -> Rawai,66,Andaman Cannacia Resort,9327,2025-12-02T11:33:13.411769,,54.0,2025-12-02T12:27:13.411769,,54.0,2025-12-02T12:42:32.466117,,54.0,2025-12-02T12:57:20.647997,,54.0,2025-12-02T13:12:34.831617,,54.0,2025-12-02T13:27:24.266828,,54.0,2025-12-02T13:42:32.225217,,54.0,2025-12-02T13:57:40.446029,,54.0,2025-12-02T14:12:18.418276,,,,
10-1150,Airport -> Rawai,67,Sai Yuan,10247,2025-12-02T11:33:13.411769,,63.0,2025-12-02T12:36:13.411769,,63.0,2025-12-02T12:51:32.466117,,63.0,2025-12-02T13:06:20.647997,,63.0,2025-12-02T13:21:34.831617,,63.0,2025-12-02T13:36:24.266828,,63.0,2025-12-02T13:51:32.225217,,63.0,2025-12-02T14:06:40.446029,,63.0,2025-12-02T14:21:18.418276,,,,
10-1152,Rawai -> Airport,36,Surin Beach,6442,2025-12-02T11:33:13.411994,2025-12-02T11:36:16.818750,3.0,2025-12-02T11:36:13.411994,0.06,,,,,,,,,,,,,,,,,,,,,,,,
10-1152,Rawai -> Airport,37,Lotus Cherngtalay,7024,2025-12-02T11:33:13.411994,2025-12-02T11:46:28.736421,10.0,2025-12-02T11:43:13.411994,3.26,,,,,,,,,,,,,,,,,,,,,,,,
10-1152,Rawai -> Airport,38,Laguna,7313,2025-12-02T11:33:13.411994,2025-12-02T11:57:14.237440,14.0,2025-12-02T11:47:13.411994,10.01,3.0,2025-12-02T11:51:31.346722,5.71,,,,,,,,,,,,,,,,,,,,,
10-1152,Rawai -> Airport,39,Cherngtalay School,7346,2025-12-02T11:33:13.411994,2025-12-02T11:58:15.496261,14.0,2025-12-02T11:47:13.411994,11.03,4.0,2025-12-02T11:52:31.346722,5.74,,,,,,,,,,,,,,,,,,,,,
10-1152,Rawai -> Airport,40,Baan Khian,8300,2025-12-02T11:33:13.411994,2025-12-02T12:05:21.908279,24.0,2025-12-02T11:57:13.411994,8.14,13.0,2025-12-02T12:01:31.346722,3.84,3.0,2025-12-02T12:06:20.140829,-0.97,,,,,,,,,,,,,,,,,,
10-1152,Rawai -> Airport,41,Thalang Public Health Office,8532,2025-12-02T11:33:13.411994,2025-12-02T12:08:24.927689,26.0,2025-12-02T11:59:13.411994,9.19,16.0,2025-12-02T12:04:31.346722,3.89,5.0,2025-12-02T12:08:20.140829,0.08,,,,,,,,,,,,,,,,,,
10-1153,Rawai -> Airport,38,Laguna,7313,2025-12-02T11:33:13.411994,2025-12-02T11:36:16.818750,3.0,2025-12-02T11:36:13.411994,0.06,,,,,,,,,,,,,,,,,,,,,,,,
10-1153,Rawai -> Airport,39,Cherngtalay School,7346,2025-12-02T11:33:13.411994,2025-12-02T11:37:17.832638,3.0,2025-12-02T11:36:13.411994,1.07,,,,,,,,,,,,,,,,,,,,,,,,
10-1153,Rawai -> Airport,40,Baan Khian,8300,2025-12-02T11:33:13.411994,2025-12-02T11:46:28.736421,13.0,2025-12-02T11:46:13.411994,0.26,,,,,,,,,,,,,,,,,,,,,,,,
10-1153,Rawai -> Airport,41,Thalang Public Health Office,8532,2025-12-02T11:33:13.411994,2025-12-02T11:48:31.346722,15.0,2025-12-02T11:48:13.411994,0.3,,,,,,,,,,,,,,,,,,,,,,,,
10-1207,Airport -> Rawai,53,Kalim Bus Stop,6450,2025-12-02T11:33:13.411769,2025-12-02T11:38:18.561342,7.0,2025-12-02T11:40:13.411769,-1.91,,,,,,,,,,,,,,,,,,,,,,,,
10-1207,Airport -> Rawai,54,Kalim School,6540,2025-12-02T11:33:13.411769,2025-12-02T11:39:19.437710,8.0,2025-12-02T11:41:13.411769,-1.9,,,,,,,,,,,,,,,,,,,,,,,,
10-1207,Airport -> Rawai,55,Diamond Cliff Resort & Spa,6630,2025-12-02T11:33:13.411769,2025-12-02T11:40:20.549628,9.0,2025-12-02T11:42:13.411769,-1.88,,,,,,,,,,,,,,,,,,,,,,,,
10-1207,Airport -> Rawai,56,Indigo Patong,6893,2025-12-02T11:33:13.411769,,14.0,2025-12-02T11:47:13.411769,,,,,,,,,,,,,,,,,,,,,,,,,
10-1207,Airport -> Rawai,57,Patong PEA,7083,2025-12-02T11:33:13.411769,,16.0,2025-12-02T11:49:13.411769,,,,,,,,,,,,,,,,,,,,,,,,,
