licence,route,stop_id,stop_name,stop_index,arrival_time,eta_pred_at_T0,accuracy_T0,eta_pred_at_T15,accuracy_T15,eta_pred_at_T30,accuracy_T30,eta_pred_at_T45,accuracy_T45,eta_pred_at_T60,accuracy_T60,eta_pred_at_T75,accuracy_T75,eta_pred_at_T90,accuracy_T90,eta_pred_at_T105,accuracy_T105,eta_pred_at_T120,accuracy_T120
10-1223,Patong -> Bus 1 -> Bus 2,92,Chillva Market,2580,2025-12-01T18:16:01.814744,2025-12-01T10:43:17.691468,452.74,2025-12-01T10:43:36.222381,452.43,2025-12-01T10:46:43.808348,449.3,,,,,,,,,,,,
10-1223,Patong -> Bus 1 -> Bus 2,93,Bangkok Hospital Phuket,2727,2025-12-01T18:17:33.070110,2025-12-01T10:46:17.691468,451.26,2025-12-01T10:45:36.222381,451.95,2025-12-01T10:49:43.808348,447.82,,,,,,,,,,,,
10-1223,Patong -> Bus 1 -> Bus 2,94,Vachira Phuket Hospital,2966,2025-12-01T15:14:42.548503,2025-12-01T10:49:17.691468,265.41,2025-12-01T10:49:36.222381,265.11,2025-12-01T10:52:43.808348,261.98,,,,,,,,,,,,
10-1223,Patong -> Bus 1 -> Bus 2,95,Phuket Wittayalai School,3184,2025-12-01T15:16:43.586768,2025-12-01T10:52:17.691468,264.43,2025-12-01T10:51:36.222381,265.12,2025-12-01T10:55:43.808348,261.0,,,,,,,,,,,,
10-1223,Patong -> Bus 1 -> Bus 2,96,Satree Phuket School,3270,2025-12-01T15:17:44.087482,2025-12-01T10:53:17.691468,264.44,2025-12-01T10:52:36.222381,265.13,2025-12-01T10:56:43.808348,261.0,,,,,,,,,,,,
10-1223,Patong -> Bus 1 -> Bus 2,115,Sanamchai,3411,,2025-12-01T10:55:17.691468,,2025-12-01T10:54:36.222381,,2025-12-01T10:58:43.808348,,2025-12-01T11:01:22.035056,,,,,,,,,,,
10-1223,Patong -> Bus 1 -> Bus 2,98,Phuket Bus Terminal 1,3774,,2025-12-01T11:05:17.691468,,2025-12-01T11:04:36.222381,,2025-12-01T11:08:43.808348,,2025-12-01T11:11:22.035056,,,,,,,,,,,
10-1223,Patong -> Bus 1 -> Bus 2,99,Sanamchai,4052,,2025-12-01T11:09:17.691468,,2025-12-01T11:08:36.222381,,2025-12-01T11:12:43.808348,,2025-12-01T11:15:22.035056,,,,,,,,,,,
10-1223,Patong -> Bus 1 -> Bus 2,100,Phuket Provincial Cooperative Office,4180,,2025-12-01T11:10:17.691468,,2025-12-01T11:10:36.222381,,2025-12-01T11:13:43.808348,,2025-12-01T11:16:22.035056,,,,,,,,,,,
10-1223,Patong -> Bus 1 -> Bus 2,101,Baan Natkamon,4358,,2025-12-01T11:12:17.691468,,2025-12-01T11:12:36.222381,,2025-12-01T11:15:43.808348,,2025-12-01T11:18:22.035056,,,,,,,,,,,
