licence,route,stop_id,stop_name,stop_index,arrival_time,eta_pred_at_T0,accuracy_T0,eta_pred_at_T15,accuracy_T15,eta_pred_at_T30,accuracy_T30,eta_pred_at_T45,accuracy_T45,eta_pred_at_T60,accuracy_T60,eta_pred_at_T75,accuracy_T75,eta_pred_at_T90,accuracy_T90,eta_pred_at_T105,accuracy_T105,eta_pred_at_T120,accuracy_T120
10-1155,Rawai -> Airport,32,Big C Kamala,5519,2025-11-27T17:34:20.058167,2025-11-27T17:13:57.069917,20.38,2025-11-27T17:20:06.299276,14.23,2025-11-27T17:34:15.311881,0.08,,,,,,,,,,,,
10-1155,Rawai -> Airport,33,Phuket Fantasea,5751,2025-11-27T17:38:22.427827,2025-11-27T17:15:57.069917,22.42,2025-11-27T17:22:06.299276,16.27,2025-11-27T17:36:15.311881,2.12,,,,,,,,,,,,
10-1155,Rawai -> Airport,34,Kamala Muslim Cemetery,5863,2025-11-27T17:39:23.127867,2025-11-27T17:16:57.069917,22.43,2025-11-27T17:23:06.299276,16.28,2025-11-27T17:37:15.311881,2.13,,,,,,,,,,,,
10-1155,Rawai -> Airport,35,Cafe De Mar,5945,2025-11-27T17:40:23.710540,2025-11-27T17:17:57.069917,22.44,2025-11-27T17:24:06.299276,16.29,2025-11-27T17:38:15.311881,2.14,,,,,,,,,,,,
10-1155,Rawai -> Airport,36,Surin Beach,6442,2025-11-27T17:44:26.171598,2025-11-27T17:21:57.069917,22.49,2025-11-27T17:28:06.299276,16.33,2025-11-27T17:42:15.311881,2.18,2025-11-27T17:43:24.271344,1.03,,,,,,,,,,
10-1155,Rawai -> Airport,37,Lotus Cherngtalay,7024,2025-11-27T17:57:34.315159,2025-11-27T17:29:57.069917,27.62,2025-11-27T17:36:06.299276,21.47,2025-11-27T17:50:15.311881,7.32,2025-11-27T17:51:24.271344,6.17,2025-11-27T17:56:03.376109,1.52,,,,,,,,
10-1155,Rawai -> Airport,38,Laguna,7313,,2025-11-27T17:34:57.069917,,2025-11-27T17:41:06.299276,,2025-11-27T17:55:15.311881,,2025-11-27T17:56:24.271344,,2025-11-27T18:01:03.376109,,,,,,,,,
10-1155,Rawai -> Airport,39,Cherngtalay School,7346,,2025-11-27T17:35:57.069917,,2025-11-27T17:42:06.299276,,2025-11-27T17:56:15.311881,,2025-11-27T17:56:24.271344,,2025-11-27T18:02:03.376109,,,,,,,,,
10-1155,Rawai -> Airport,40,Baan Khian,8300,,2025-11-27T17:44:57.069917,,2025-11-27T17:51:06.299276,,2025-11-27T18:05:15.311881,,2025-11-27T18:06:24.271344,,2025-11-27T18:11:03.376109,,,,,,,,,
10-1155,Rawai -> Airport,41,Thalang Public Health Office,8532,,2025-11-27T17:47:57.069917,,2025-11-27T17:54:06.299276,,2025-11-27T18:07:15.311881,,2025-11-27T18:08:24.271344,,2025-11-27T18:14:03.376109,,,,,,,,,
10-1264,Dragon Line,12,Phuket Thaihua Museum,760,2025-11-27T17:54:29.001546,2025-11-27T16:56:57.070289,57.53,2025-11-27T17:52:25.685280,2.06,,,,,,,,,,,,,,
10-1264,Dragon Line,13,Dibuk Road,830,2025-11-27T17:55:29.546097,2025-11-27T16:57:57.070289,57.54,2025-11-27T17:53:25.685280,2.06,,,,,,,,,,,,,,
10-1264,Dragon Line,14,Mongkhonnimit Temple,886,2025-11-27T17:04:31.852555,2025-11-27T16:58:57.070289,5.58,2025-11-27T17:54:25.685280,,,,,,,,,,,,,,,
10-1264,Dragon Line,15,Limelight Phuket,960,2025-11-27T17:04:31.852555,2025-11-27T17:00:57.070289,3.58,2025-11-27T17:56:25.685280,,,,,,,,,,,,,,,
10-1222,Bus 2 -> Bus 1 -> Patong,81,Coffee Mania,4922,2025-11-27T16:59:29.426180,2025-11-27T16:59:57.069979,-0.46,,,,,,,,,,,,,,,,
10-1222,Bus 2 -> Bus 1 -> Patong,82,Malin Plaza,5178,,2025-11-27T17:03:57.069979,,,,,,,,,,,,,,,,,
